timestamp,title,price,original_price,discount_pct,promo_tag,link
2025-12-05T20:17:40,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:17:40,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:17:44,Patin Scooter Eléctrico E2 P/niños Honey Whale 15km/h 138w,2499.0,3332.0,25,,https://mercadolibre.com/sec/2ExmVRn
2025-12-05T20:17:46,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:17:50,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:17:57,Patin Scooter Eléctrico E2 P/niños Honey Whale 15km/h 138w,2499.0,3332.0,25,,https://mercadolibre.com/sec/2ExmVRn
2025-12-05T20:18:00,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:04,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:06,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:18:30,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:32,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:37,Patin Scooter Eléctrico E2 P/niños Honey Whale 15km/h 138w,2499.0,3332.0,25,,https://mercadolibre.com/sec/2ExmVRn
2025-12-05T20:18:38,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:18:42,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:42,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:43,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:18:59,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:18:59,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:19:16,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:19:56,Mesa De Exterior Selectshop 180mesaplegable De Plástico Portátil 1.80m Color Blanco,789.0,999.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/1kZYxzM
2025-12-05T20:35:21,Reloj Para Hombres Invicta Pro Diver 44716 Acero,1549.0,5664.0,72,🔥 Más Vendido,https://mercadolibre.com/sec/2sALJaa
2025-12-05T20:36:34,Cámara De Seguridad Wifi Foco Hd 1080p Nocturna Alarma 2pcs,383.0,1279.0,70,⏰ Oferta del Día,https://mercadolibre.com/sec/2dLZQMd
2025-12-05T20:37:53,Tablet 10 Android 15 30gb+128gb Rom 5gwifi Con Funda Teclado Azul,1740.0,5800.0,70,⏰ Oferta del Día,https://mercadolibre.com/sec/2oLvg3i
2025-12-05T20:39:10,Estante Cuory 5 Niveles Metal-mdf Ajustable 180x40x90 Cm Gris,549.0,1798.0,69,,https://mercadolibre.com/sec/2s8twSa
2025-12-05T20:40:33,Chamarras Capuchaaire Libre Impermeable Del Remiendo Hombres,349.0,1078.0,67,🔥 Más Vendido,https://mercadolibre.com/sec/1gDj9nz
2025-12-05T20:41:53,Mercado Bebe Muñeca Bebé Reborn De Silicona Y Algodón Niño Bebé 55cm Doll,669.0,1999.0,66,🔥 Más Vendido,https://mercadolibre.com/sec/2esCtWB
2025-12-05T20:43:13,Smartwatch Mujer Hombre Reloj Inteligente Bt Llamadas Alexa,370.0,1090.0,66,⏰ Oferta del Día,https://mercadolibre.com/sec/1DbN71Z
2025-12-05T20:44:26,Kit De Cámaras De Seguridad 5mp 4 Cámaras Disco 500gb.,1857.0,5470.0,66,⏰ Oferta del Día,https://mercadolibre.com/sec/2axgNU4
2025-12-05T20:45:41,Cámara De Seguridad 2pcs-288 Hd 1080p Foco 360° Alarma 2 Piezas Con Resolución 2mp Visión Nocturna Incluida Color Blanco,383.0,1096.0,65,🔥 Más Vendido,https://mercadolibre.com/sec/2gLMpuv
2025-12-05T20:46:55,Arrancador Brpom Ml383 12v 8500a Con Compresor 150psi Y Power Bank Para Auto Y Camioneta,837.0,2376.0,64,🔥 Más Vendido,https://mercadolibre.com/sec/1PWFDtB
2025-12-05T20:48:13,Bigview Mini Proyector Hy300 Pro Proyector Profesional 4k Wifi Blanco Portátil Smart Tv 12000lm,656.0,1828.0,64,🔥 Más Vendido,https://mercadolibre.com/sec/2wTChUS
2025-12-05T20:49:37,Chamarra Hombre De Piel Pu 2 En 1 Con Capucha Y Cremallera,651.0,1809.0,64,⏰ Oferta del Día,https://mercadolibre.com/sec/1BKbZvC
2025-12-05T20:50:52,"2025 Tablet 10.1 Pulgadas Android 15 20gb Ram 128gb Rom Tf 1tb Hd Ips Tablets 2 En 1 Con Teclado Ratón Fund 8core Bluetooth 5.0,2.4g5g Wifi Chatgpt Tableta Gms Certificación Widevine L1 Economicas",1620.0,4500.0,64,🔥 Más Vendido,https://mercadolibre.com/sec/2YUKQEW
2025-12-05T20:52:05,Rotomartillo Perforator Cincelator Demoledor Sds Industrial 4500w Con Accesorios,1285.0,3473.0,63,⏰ Oferta del Día,https://mercadolibre.com/sec/2G7NfH3
