timestamp,title,reason
2025-12-05T19:58:13.287283,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:13.288309,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:13.288309,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:13.289307,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:13.289307,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:58:13.289307,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:13.398792,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:13.398792,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:58:13.398792,Colchón Matrimonial Restonic Moon Care Confort Ortopédico Gris Oscuro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:13.398792,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:13.398792,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:58:13.400120,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:58:13.400120,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:58:13.400120,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:13.400120,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:58:13.400120,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:58:13.400120,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:13.400120,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:13.401180,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:13.401180,Colchón Restonic King Size Leyen + 5 Años Color Gris Oscuro,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:13.402181,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:13.402181,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:13.403210,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:58:34.731883,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:34.731883,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:58:34.731883,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:34.731883,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:58:34.731883,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:58:34.731883,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:58:34.731883,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:34.731883,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:58:34.732885,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:58:34.732885,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:34.732885,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:34.734778,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:34.734778,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:34.734778,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:34.736283,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:58:34.736283,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:56.471229,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:56.471229,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:58:56.471229,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:56.471229,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:58:56.472248,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:58:56.472248,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:58:56.472248,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:56.472248,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:58:56.472748,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:58:56.472748,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:58:56.472748,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:58:56.472748,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:56.473763,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:58:56.473763,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:58:56.473763,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:58:56.474760,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:07.972744,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:07.972744,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:59:07.972744,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:07.972744,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:59:07.972744,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:59:07.972744,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:59:07.972744,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:07.973747,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:59:07.973747,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:59:07.973747,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:07.973747,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:07.973747,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:07.975326,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:07.975717,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:07.975717,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:59:07.976447,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:17.746786,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:17.747783,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:59:17.747783,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:17.747783,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:59:17.747783,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:59:17.747783,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:59:17.747783,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:17.747783,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:59:17.747783,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:59:17.747783,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:17.748942,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:17.749957,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:17.749957,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:17.749957,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:17.750954,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:59:17.750954,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:29.431830,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:29.431830,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:59:29.431830,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:29.431830,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:59:29.431830,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:59:29.431830,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:59:29.431830,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:29.432834,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
