ts,title,price_now,price_prev,discount_pct,url,image
2025-11-14 01:21:17,Colchón Matrimonial Emma Comfort Memory Foam Anti Movimiento Color Blanco,4369.0,12499.0,65.05,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count,https://http2.mlstatic.com/D_NQ_NP_612329-MLA95981460080_102025-Q.jpg
2025-11-14 01:26:18,"Batería De Cocina Kitchenes Juego De 12 Piezas, Set De Ollas De Acero Inoxidable Premium Color Azul, Tapas De Vidrio Templado, Fondo Térmico De 3 Capas, Sartén Antiadherente Para Todo Tipo De Estufas",1308.0,3602.0,63.69,https://www.mercadolibre.com.mx/bateria-de-cocina-kitchenes-juego-de-12-piezas-set-de-ollas-de-acero-inoxidable-premium-color-azul-tapas-de-vidrio-templado-fondo-termico-de-3-capas-sarten-antiadherente-para-todo-tipo-de-estufas/p/MLM47814265#polycard_client=offers&deal_print_id=da222f1c-98fb-408b-af22-932973a348fe&tracking_id=dcf1309c-7675-4d7c-9d26-8f3982642732&wid=MLM2283369025&sid=offers,https://http2.mlstatic.com/D_NQ_NP_982525-MLA97469735709_112025-Q.jpg
2025-11-14 01:31:19,Caminadora Electrica 2.75hp Centurfit 1 -14km/h Inclinacion Manual Conexion App Bluetooth 12 Programas De Entrenamiento Pantlla Led Con Bocinas Entrenamiento,3502.0,8599.0,59.27,https://www.mercadolibre.com.mx/caminadora-electrica-275hp-centurfit-1-14kmh-inclinacion-manual-conexion-app-bluetooth-12-programas-de-entrenamiento-pantlla-led-con-bocinas-entrenamiento/p/MLM58210098#polycard_client=offers&deal_print_id=0de3ae40-3a69-457c-8921-96ad00a4f3d6&tracking_id=4fb6ab43-1878-4d5d-97cb-8a5923b34e21&wid=MLM4138055882&sid=offers,https://http2.mlstatic.com/D_NQ_NP_880156-MLA95714425648_102025-Q.jpg
2025-11-14 01:36:19,"Point Smart 2, Terminal Para Tarjetas Con Internet Gratis",399.0,1899.0,78.99,https://www.mercadolibre.com.mx/point-smart-2-terminal-para-tarjetas-con-internet-gratis/p/MLM43420119#polycard_client=offers&deal_print_id=8f939da2-1c3b-4095-85f9-6ca2e1b0f110&position=15&tracking_id=f8cc76d1-f2b5-4a07-990d-b325bd5b2527&wid=MLM2226305939&sid=offers,https://http2.mlstatic.com/D_NQ_NP_936496-MLA95700906078_102025-Q.jpg
2025-11-14 01:41:20,Colchón Matrimonial Emma Premium Memory Foam Anti Movimiento Color Blanco,4989.0,11999.0,58.42,https://www.mercadolibre.com.mx/colchon-matrimonial-emma-premium-memory-foam-anti-movimiento-color-blanco/p/MLM34226717#polycard_client=offers&deal_print_id=db17aeba-1c4d-43e7-98cc-0570fd88c198&tracking_id=9e1a3025-213d-4cb3-9d48-66fc72eb653d&wid=MLM2929969086&sid=offers,https://http2.mlstatic.com/D_NQ_NP_717450-MLA95712886802_102025-Q.jpg
2025-11-14 01:46:22,"Dear Day Cafetera Con Molinillo Integrado, Mango For Capsules, Prensa De Café, Jarra De Espuma, Tapete Para Prensado, Cuchara Dosificadora Y Cepillo De Limpieza",2279.0,5461.0,58.27,https://www.mercadolibre.com.mx/dear-day-cafetera-con-molinillo-integrado-mango-for-capsules-prensa-de-cafe-jarra-de-espuma-tapete-para-prensado-cuchara-dosificadora-y-cepillo-de-limpieza/p/MLM41991775#polycard_client=offers&deal_print_id=0de3ae40-3a69-457c-8921-96ad00a4f3d6&tracking_id=4fb6ab43-1878-4d5d-97cb-8a5923b34e21&wid=MLM2183822149&sid=offers,https://http2.mlstatic.com/D_NQ_NP_728208-MLA96130531719_102025-Q.jpg
2025-11-14 02:39:28,Colchón Emma Comfort Premium King Size Memory Foam+resortes Color Blanco,6649.0,17739.0,62.52,https://www.mercadolibre.com.mx/colchon-emma-comfort-premium-king-size-memory-foamresortes-color-blanco/p/MLM29638975#polycard_client=offers&deal_print_id=71166e01-31c2-4c80-9f71-e032ac80d396&tracking_id=bd4554ec-fb9e-43c2-aa15-5892a5d12644&wid=MLM2005969907&sid=offers,https://http2.mlstatic.com/D_NQ_NP_802344-MLA95661490500_102025-Q.jpg
2025-11-14 03:04:46,Colchón Individual Noite Basic Con Memory Adapt Gris,1638.0,3990.0,58.95,https://www.mercadolibre.com.mx/colchon-individual-noite-basic-con-memory-adapt-gris/p/MLM50224717#polycard_client=offers&deal_print_id=8c206fa0-437d-4900-913c-f0e5813f4d2d&tracking_id=d0d4131c-00d2-48e1-b63e-28db309dd5f8&wid=MLM3705045166&sid=offers,https://http2.mlstatic.com/D_NQ_NP_791877-MLA96103943175_102025-Q.jpg
2025-11-14 03:09:53,Colchón King Size Noite Plus Memory Adapt 20 Cm De Altura Gris,4170.0,9990.0,58.26,https://www.mercadolibre.com.mx/colchon-king-size-noite-plus-memory-adapt-20-cm-de-altura-gris/p/MLM53319352#polycard_client=offers&deal_print_id=b39f1227-1c82-49c2-8bb7-e7fe8a8b9bc2&tracking_id=48c8d5cd-69f4-46f4-9d3a-b5ee1ed011d3&wid=MLM3928789076&sid=offers,https://http2.mlstatic.com/D_NQ_NP_734761-MLA95671393052_102025-Q.jpg
2025-11-14 03:15:01,Smart Tv Pantalla 43 Pulgadas Cuory Android Tv Cuo-hdtv43 43'' Full Hd Led,3289.0,7798.0,57.82,https://www.mercadolibre.com.mx/smart-tv-pantalla-43-pulgadas-cuory-android-tv-cuo-hdtv43-43-full-hd-led/p/MLM37285283#polycard_client=offers&deal_print_id=b39f1227-1c82-49c2-8bb7-e7fe8a8b9bc2&tracking_id=48c8d5cd-69f4-46f4-9d3a-b5ee1ed011d3&wid=MLM2541167103&sid=offers,https://http2.mlstatic.com/D_NQ_NP_660817-MLA95700756852_102025-Q.jpg
2025-11-14 03:18:06,Colchón Matrimonial Noite Plus Con Memory Adapt Gris Oscuro,2539.0,5990.0,57.61,https://www.mercadolibre.com.mx/colchon-matrimonial-noite-plus-con-memory-adapt-gris-oscuro/p/MLM50352916#polycard_client=offers&deal_print_id=1ccfe50d-b338-471b-bbcc-8b65bd4d3621&position=3&tracking_id=4f21c788-1984-467e-9fbf-2c2c1ee4105f&wid=MLM3707054658&sid=offers,https://http2.mlstatic.com/D_NQ_NP_823102-MLA95696881798_102025-Q.jpg
2025-11-14 03:29:37,Colchón Matrimonial Noite Basic Con Memory Adapt Gris,2133.0,5990.0,64.39,https://www.mercadolibre.com.mx/colchon-matrimonial-noite-basic-con-memory-adapt-gris/p/MLM53984971#polycard_client=offers&deal_print_id=9d92cf3f-130c-4908-aaee-11b283544694&tracking_id=8cafa685-747b-4267-b3f5-a3340c2493ef&wid=MLM2413767069&sid=offers,https://http2.mlstatic.com/D_NQ_NP_709341-MLA96123625527_102025-Q.jpg
2025-11-14 03:30:06,"Smart Tv Acer 55 Pulgadas Pantalla 4k Qled Google Tv Con Dolby Audio, Asistente De Google, Televisión, Bluetooth, Hdmi, Wi-fi, Hdr, Control Por Voz Y Soporte De Pared Incluido",6999.0,15999.0,56.25,https://www.mercadolibre.com.mx/smart-tv-acer-55-pulgadas-pantalla-4k-qled-google-tv-con-dolby-audio-asistente-de-google-television-bluetooth-hdmi-wi-fi-hdr-control-por-voz-y-soporte-de-pared-incluido/p/MLM61393993#polycard_client=offers&deal_print_id=9d92cf3f-130c-4908-aaee-11b283544694&tracking_id=8cafa685-747b-4267-b3f5-a3340c2493ef&wid=MLM4295082902&sid=offers,https://http2.mlstatic.com/D_NQ_NP_985328-MLA97469928691_112025-Q.jpg
2025-11-14 03:30:36,Llantas 140/70-17 Y 110/70-17 Michelin Pilot Street 2,2799.0,6372.0,56.07,https://www.mercadolibre.com.mx/llantas-14070-17-y-11070-17-michelin-pilot-street-2/p/MLM24199806#polycard_client=offers&deal_print_id=a1131598-77d2-4829-b6a3-1fc17c136745&tracking_id=a34ffbaf-ac43-458a-b332-4b61e1625ada&wid=MLM3232056090&sid=offers,https://http2.mlstatic.com/D_NQ_NP_972635-MLA95500749678_102025-Q.jpg
2025-11-14 03:30:48,Paquete De 6 Sillas Plegables Blancas Color Blanco,1968.0,4400.0,55.27,https://www.mercadolibre.com.mx/paquete-de-6-sillas-plegables-blancas-color-blanco/p/MLM45804547#polycard_client=offers&deal_print_id=80b34b18-0b96-4613-8a2c-b4959d06fc2b&tracking_id=a00882ef-d0de-48e1-ad5c-0f318535b5ac&wid=MLM2229986775&sid=offers,https://http2.mlstatic.com/D_NQ_NP_923185-MLA96098759251_102025-Q.jpg
2025-11-14 03:30:56,Smart Tv Motorola Mot32hle11 32  Hd Dled Color Negro,2599.0,5798.0,55.17,https://www.mercadolibre.com.mx/smart-tv-motorola-mot32hle11-32-hd-dled-color-negro/p/MLM28511887#polycard_client=offers&deal_print_id=51d438fc-d20d-48b5-9e33-cfd4148db884&position=46&tracking_id=e1aeb380-26a8-4dc9-99e5-20fbbfba9e72&wid=MLM3895185040&sid=offers,https://http2.mlstatic.com/D_NQ_NP_753882-MLA95967757111_102025-Q.jpg
2025-11-14 03:31:21,Parrilla Estufa Electrica Con 5 Quemadores Alimentación A Gas Lp Y Natural Acero Inoxidable Gutstark,1451.0,3299.0,56.02,https://www.mercadolibre.com.mx/parrilla-estufa-electrica-con-5-quemadores-alimentacion-a-gas-lp-y-natural-acero-inoxidable-gutstark/p/MLM18441607#polycard_client=offers&deal_print_id=a1131598-77d2-4829-b6a3-1fc17c136745&tracking_id=a34ffbaf-ac43-458a-b332-4b61e1625ada&wid=MLM1370012166&sid=offers,https://http2.mlstatic.com/D_NQ_NP_930519-MLA95688465354_102025-Q.jpg
